time,phasePid,sfCpuPct,sfWsMB,sfPrivMB,sfGpuPct,sfGpuMemMB,wvCount,wvCpuPct,wvWsMB,wvPrivMB,wvGpuPct,wvGpuMemMB
2026-07-19 12:21:49.690,49396,0,68.7,3194.4,0,0,0,0,0,0,0,0
2026-07-19 12:21:52.227,49396,3.06,113.2,3256,0,0,0,0,0,0,0,0
2026-07-19 12:21:54.993,49396,7.18,798.9,3646.8,0,331.5,0,0,0,0,0,0
2026-07-19 12:21:58.476,49396,5.47,1832.7,4762.5,9.37,936.7,0,0,0,0,0,0
2026-07-19 12:22:02.200,49396,12.46,2600.3,6082.4,10.65,942,7,0,348.5,206.8,0,0
2026-07-19 12:22:05.490,49396,9.59,3978.8,7279.8,13.57,942,7,0.06,346,204.2,0,0
2026-07-19 12:22:08.993,49396,9.24,5760.8,8011.6,13.54,942,7,0.03,345.5,203.7,0,0
2026-07-19 12:22:12.299,49396,17.75,7275.3,8452.7,2.54,942,7,0,345.5,203.7,0,0
2026-07-19 12:22:15.878,49396,30.43,7548.6,8651.1,11.43,942.1,7,0,345.6,203.7,0,0
2026-07-19 12:22:19.188,49396,8.84,7596.5,8691.9,13.86,942,7,0,345.7,203.7,0,0
2026-07-19 12:22:22.839,49396,5.03,7694.8,8791.7,10.59,942.1,7,0.12,359.3,216.2,0,0
2026-07-19 12:22:26.603,49396,10.41,7724.2,8812.6,76.66,1143.6,7,0.06,364.9,213.5,0,0
2026-07-19 12:22:30.600,49396,19.32,7929,9003.6,88.39,1438.9,8,0.01,458.5,268,0,0
2026-07-19 12:22:34.047,49396,24.38,8251.4,9394.8,91.22,1439.9,8,0,456.5,265.9,0,0
2026-07-19 12:22:37.657,49396,25.99,8258.7,9396.9,94.13,1439.9,8,0,455,264.4,0,0
2026-07-19 12:22:41.160,49396,27.6,8243.3,9380.4,94.08,1440,8,0,455,264.4,0,0
2026-07-19 12:22:44.920,49396,24.66,8244.5,9381.7,87.47,1440.6,8,0.01,455,264.3,0,0
2026-07-19 12:22:48.390,49396,23.6,8188.9,9326.4,87.14,1440.5,8,0,455,264.3,0,0
2026-07-19 12:22:51.947,49396,24.52,8189,9326.5,92.49,1440.5,8,0,455,264.3,0,0
2026-07-19 12:22:55.287,49396,25.11,8189.1,9326.5,92.33,1440.6,8,0.01,435.2,243.5,0,0
2026-07-19 12:22:58.716,49396,25.48,8189.2,9326.5,92.78,1440.6,8,0.13,444.2,247.8,0,0
2026-07-19 12:23:02.063,49396,24.66,8189.4,9326.5,89.95,1440.5,8,0.01,444.8,247.5,0,0
2026-07-19 12:23:05.465,49396,23.58,8191.5,9328.7,92.22,1440.5,8,0,444.8,247.5,0,0
2026-07-19 12:23:08.632,49396,25.8,8193.7,9330,90.4,1440.5,8,0.02,444.7,247.4,0,0
2026-07-19 12:23:12.197,49396,13.5,8193.8,9330,89.38,1452.7,8,1.73,457.9,271.4,0,0
2026-07-19 12:23:15.517,49396,9.5,8195.4,9330.4,88.57,1452.7,8,1.86,459.2,272.3,0,0
2026-07-19 12:23:18.957,49396,9.99,8189.5,9324.1,88.72,1452.7,8,2.29,461.8,265.6,0,0
2026-07-19 12:23:22.272,49396,9.69,8137.1,9271.2,87.01,1452.7,8,2.04,462.6,266.5,0,0
2026-07-19 12:23:25.702,49396,8.85,8138.4,9272.4,87.12,1452.7,8,2.2,463.2,267,0,0
2026-07-19 12:23:28.891,49396,9.45,8138.7,9272.8,89.4,1452.7,8,1.81,463.7,266.8,0,0
2026-07-19 12:23:32.419,49396,8.93,8138.7,9272.8,83.61,1452.7,8,3.73,491.9,304.3,0,0
2026-07-19 12:23:35.774,49396,8.46,8138.8,9272.8,84.35,1452.7,8,4.01,491.9,304.2,0,0
2026-07-19 12:23:39.269,49396,9.79,8138.8,9272.8,84.33,1452.7,8,4.04,492,304,0,0
2026-07-19 12:23:42.608,49396,9.09,8138.8,9272.8,85.47,1452.7,8,4.16,490.9,302.9,0,0
2026-07-19 12:23:46.113,49396,9.18,8138.8,9272.8,85.61,1453.2,8,3.97,489.5,301.2,0,0
2026-07-19 12:23:49.371,49396,9.56,8138.8,9273.4,85.47,1453.2,8,4.16,491.3,302.4,0,0
2026-07-19 12:23:52.823,49396,8.39,8138.8,9273.4,63.68,1453.2,8,6.15,528.5,342.3,0,0
2026-07-19 12:23:56.110,49396,8.01,8139.2,9273.7,63.55,1454.2,8,6.55,527.1,339.8,0,0
2026-07-19 12:23:59.580,49396,7.22,8141.4,9276.9,63.54,1454.2,8,6.55,526.5,327.1,0,0
2026-07-19 12:24:02.894,49396,7.85,8141.4,9276.9,64.1,1454.2,8,6.4,526.9,327.5,0,0
2026-07-19 12:24:06.406,49396,8.16,8128.3,9263.5,63.93,1454.2,8,6.37,527.4,327.9,0,0
2026-07-19 12:24:09.677,49396,8.21,8128.6,9263.8,63.18,1454.2,8,6.3,538.2,353.1,0,0
2026-07-19 12:24:13.127,49396,8.8,8128.6,9263.7,77.03,1454.2,8,5.93,537.4,353,0,0
2026-07-19 12:24:16.445,49396,8.29,8128.6,9263.7,77.12,1454.2,8,6.07,536.4,346.1,0,0
2026-07-19 12:24:19.821,49396,10.5,8128.7,9263.7,76.68,1454.2,8,5.92,536.4,331.9,0,0
2026-07-19 12:24:23.111,49396,9.44,8128.8,9263.7,76.19,1454.2,8,6.11,537.4,331.6,0,0
2026-07-19 12:24:26.559,49396,7.53,8128.8,9263.7,76.61,1454.2,8,5.74,537.6,331.8,0,0
2026-07-19 12:24:29.859,49396,8.2,8128.8,9263.7,76.78,1454.2,8,6.24,583.7,385.8,0,0
2026-07-19 12:24:33.394,49396,10.25,8128.8,9263.7,85.09,1454.2,8,6.35,608.9,410.8,0,0
2026-07-19 12:24:36.805,49396,9.17,8129.1,9263.9,85.61,1454.2,8,6.27,606.9,408.6,0,0
2026-07-19 12:24:40.415,49396,9.74,8129.1,9263.9,85.29,1454.2,8,6.75,613.6,419.1,0,0
