time,phasePid,sfCpuPct,sfWsMB,sfPrivMB,sfGpuPct,sfGpuMemMB,wvCount,wvCpuPct,wvWsMB,wvPrivMB,wvGpuPct,wvGpuMemMB
2026-07-19 12:50:04.459,40640,0,11.6,48.7,0,0,0,0,0,0,0,0
2026-07-19 12:50:07.137,40640,3.19,115.2,3258,0,0,0,0,0,0,0,0
2026-07-19 12:50:10.137,40640,7.14,508.5,3675.4,0,331.5,0,0,0,0,0,0
2026-07-19 12:50:13.658,40640,6.21,1842.3,4765.3,10.08,936.9,0,0,0,0,0,0
2026-07-19 12:50:17.364,40640,12.2,2694.9,6168.1,7.9,943.1,0,0,0,0,0,0
2026-07-19 12:50:20.546,40640,9.57,4177.7,7413.6,14.22,943.1,0,0,0,0,0,0
2026-07-19 12:50:23.971,40640,9.66,5902.2,8058.4,10.76,943.1,0,0,0,0,0,0
2026-07-19 12:50:27.115,40640,12.36,7338.4,8494,1.88,943.1,0,0,0,0,0,0
2026-07-19 12:50:30.542,40640,33.7,7558.1,8642.9,16.55,943.1,0,0,0,0,0,0
2026-07-19 12:50:33.659,40640,14.05,7614.1,8697.6,14.09,943.1,0,0,0,0,0,0
2026-07-19 12:50:37.095,40640,7.63,7701.5,8774.4,17.83,1147.4,0,0,0,0,0,0
2026-07-19 12:50:40.251,40640,14.11,7836.5,9138.1,94.51,1438.3,0,0,0,0,0,0
2026-07-19 12:50:43.623,40640,27.34,8427.8,9583.6,94.33,1440.1,0,0,0,0,0,0
2026-07-19 12:50:46.868,40640,28.42,8464.1,9597.5,94.65,1441.7,0,0,0,0,0,0
2026-07-19 12:50:50.292,40640,23.3,8464.5,9596.9,94.54,1442.3,0,0,0,0,0,0
2026-07-19 12:50:53.536,40640,20.79,8399.1,9530.6,94.66,1442.3,0,0,0,0,0,0
2026-07-19 12:50:56.910,40640,24.88,8348.3,9479.5,95.05,1442.3,0,0,0,0,0,0
2026-07-19 12:51:00.187,40640,22.11,8348.5,9479.5,94.54,1442.5,0,0,0,0,0,0
2026-07-19 12:51:03.572,40640,25.2,8348.6,9479.7,94.79,1442.3,0,0,0,0,0,0
2026-07-19 12:51:06.744,40640,23.63,8348.7,9479.6,94.55,1442.5,0,0,0,0,0,0
2026-07-19 12:51:10.116,40640,22.43,8348.8,9479.6,94.39,1442.3,0,0,0,0,0,0
2026-07-19 12:51:13.323,40640,19.63,8349,9479.6,90.81,1468.5,0,0,0,0,0,0
2026-07-19 12:51:16.510,40640,8.03,8354.5,9524.2,94.54,1468.5,0,0,0,0,0,0
2026-07-19 12:51:19.555,40640,8.56,8343,9512.3,94.39,1468.5,0,0,0,0,0,0
2026-07-19 12:51:22.707,40640,7.71,8279.4,9448.6,94.54,1468.5,0,0,0,0,0,0
2026-07-19 12:51:25.772,40640,7.44,8271.8,9440.9,94.57,1468.5,0,0,0,0,0,0
2026-07-19 12:51:28.929,40640,7.64,8271.8,9440.9,95.03,1468.5,0,0,0,0,0,0
2026-07-19 12:51:31.959,40640,8.33,8271.8,9440.9,94.71,1468.5,0,0,0,0,0,0
2026-07-19 12:51:35.276,40640,9.6,8271.9,9440.9,94.84,1468.5,0,0,0,0,0,0
2026-07-19 12:51:38.560,40640,10.39,8267.3,9436.2,94.77,1468.5,0,0,0,0,0,0
2026-07-19 12:51:41.842,40640,10.21,8267.4,9436.2,94.09,1468.5,0,0,0,0,0,0
2026-07-19 12:51:44.877,40640,9.78,8267.4,9436.2,94.89,1468.5,0,0,0,0,0,0
2026-07-19 12:51:48.074,40640,10.11,8267.4,9436.2,94.44,1468.5,0,0,0,0,0,0
2026-07-19 12:51:51.205,40640,10.7,8267.5,9436.2,94.42,1468.5,0,0,0,0,0,0
2026-07-19 12:51:54.651,40640,14.76,8267.5,9436.2,94.46,1468.5,0,0,0,0,0,0
2026-07-19 12:51:57.835,40640,15.5,8276.7,9446.3,94.75,1468.5,0,0,0,0,0,0
