time,phasePid,sfCpuPct,sfWsMB,sfPrivMB,sfGpuPct,sfGpuMemMB,wvCount,wvCpuPct,wvWsMB,wvPrivMB,wvGpuPct,wvGpuMemMB
2026-07-19 10:53:11.194,48540,0,35.6,63.2,0,0,0,0,0,0,0,0
2026-07-19 10:53:14.657,48540,3.05,110.9,3257.7,0,7.4,0,0,0,0,0,0
2026-07-19 10:53:18.335,48540,7.59,691.1,3664.1,0,463.7,0,0,0,0,0,0
2026-07-19 10:53:22.395,48540,6.64,1912.8,5242.3,9.52,1053,0,0,0,0,0,0
2026-07-19 10:53:26.804,48540,11.5,2679.7,6308.1,9.17,1060,0,0,0,0,0,0
2026-07-19 10:53:30.669,48540,10,3852.3,7299.6,13.38,1060,0,0,0,0,0,0
2026-07-19 10:53:34.779,48540,9.22,5481.2,8128.6,0,1060,0,0,0,0,0,0
2026-07-19 10:53:38.499,48540,13.8,7310.9,8592.6,0.82,1060,0,0,0,0,0,0
2026-07-19 10:53:42.560,48540,34.51,7577.1,8783.7,15.37,1060,0,0,0,0,0,0
2026-07-19 10:53:46.534,48540,13.54,7640,8839.4,8.9,1060,0,0,0,0,0,0
2026-07-19 10:53:50.413,48540,7.72,7754.2,8949,10.08,1060,0,0,0,0,0,0
2026-07-19 10:53:54.040,48540,3.24,7818.6,9018.7,10.66,1060,0,0,0,0,0,0
2026-07-19 10:53:57.830,48540,2.69,7754.6,8954.6,14.37,1060,0,0,0,0,0,0
2026-07-19 10:54:01.570,48540,2.78,7751.4,8951.2,13.12,1060,0,0,0,0,0,0
2026-07-19 10:54:05.460,48540,3.1,7746.9,8946.6,11.43,1060,0,0,0,0,0,0
2026-07-19 10:54:09.038,48540,3.33,7747,8946.6,10.2,1060,0,0,0,0,0,0
2026-07-19 10:54:12.809,48540,3.46,7746.8,8946,12.83,1060,0,0,0,0,0,0
2026-07-19 10:54:16.257,48540,2.93,7746.9,8946,13.75,1060,0,0,0,0,0,0
2026-07-19 10:54:19.906,48540,2.88,7746.9,8946,13.49,1060,0,0,0,0,0,0
2026-07-19 10:54:23.644,48540,3.77,7748.9,8948,12.74,1060,0,0,0,0,0,0
2026-07-19 10:54:27.589,48540,3.07,7748.9,8948,16.9,1060,0,0,0,0,0,0
2026-07-19 10:54:31.363,48540,2.87,7748.9,8948,11.35,1060,0,0,0,0,0,0
2026-07-19 10:54:35.215,48540,3.06,7748.9,8948,11.68,1060,0,0,0,0,0,0
2026-07-19 10:54:38.900,48540,3.26,7749,8948,13.42,1060,0,0,0,0,0,0
2026-07-19 10:54:42.727,48540,2.96,7749,8948,12.52,1060,0,0,0,0,0,0
2026-07-19 10:54:46.183,48540,2.98,7749,8948,11.69,1060,0,0,0,0,0,0
2026-07-19 10:54:49.702,48540,3.41,7749,8948,15.19,1060,0,0,0,0,0,0
2026-07-19 10:54:53.160,48540,2.58,7749,8948,17.02,1060,0,0,0,0,0,0
2026-07-19 10:54:56.788,48540,2.65,7749,8948,12.32,1060,0,0,0,0,0,0
2026-07-19 10:55:00.205,48540,2.87,7749,8948,15.68,1060,0,0,0,0,0,0
2026-07-19 10:55:03.948,48540,3.25,7749,8948,11.6,1060,0,0,0,0,0,0
2026-07-19 10:55:07.374,48540,2.86,7749,8948,15.92,1060,0,0,0,0,0,0
2026-07-19 10:55:11.222,48540,3.1,7749,8948,10.16,1060,0,0,0,0,0,0
2026-07-19 10:55:14.980,48540,3.48,7749,8948,14.03,1060,0,0,0,0,0,0
2026-07-19 10:55:18.894,48540,3.24,7749,8948,12.28,1060,0,0,0,0,0,0
2026-07-19 10:55:22.659,48540,2.79,7749.1,8948,11.67,1060,0,0,0,0,0,0
2026-07-19 10:55:26.697,48540,3.48,7745.8,8944.7,11.32,1060,6,0,324.5,222,0,0
2026-07-19 10:55:30.631,48540,3,7745.8,8944.7,0,1060,0,0,0,0,0,0
2026-07-19 10:55:34.291,48540,2.79,7745.9,8944.7,11.7,1060,0,0,0,0,0,0
2026-07-19 10:55:38.071,48540,3.66,7745.8,8944.6,17.64,1060,0,0,0,0,0,0
2026-07-19 10:55:41.862,48540,3.03,7745.8,8944.6,17.04,1060,0,0,0,0,0,0
2026-07-19 10:55:45.520,48540,2.74,7745.8,8944.6,12.8,1060,0,0,0,0,0,0
2026-07-19 10:55:49.334,48540,3.53,7745.8,8944.6,18.78,1060,0,0,0,0,0,0
2026-07-19 10:55:52.873,48540,3.63,7745.8,8944.6,19.38,1060,0,0,0,0,0,0
